player_modelo,nacion,goles_int,xg_int,remates_int,n_part,score_match,factor_xg
Lovro Majer,CRO,0,0.16,2,3,100.0,1.0
Davide Frattesi,ITA,0,0.27,2,4,100.0,1.0
Demarai Gray,JAM,0,0.1,2,3,100.0,1.0
Joško Gvardiol,CRO,0,0.07,2,3,100.0,1.0
Jules Koundé,FRA,1,0.85,2,6,100.0,1.0
Kacper Urbanski,POL,0,0.1,2,3,100.0,1.0
Ondrej Duda,SVK,1,0.13,2,4,100.0,1.0
Antoine Semenyo,GHA,0,0.08,2,3,100.0,1.0
Arthur Theate,BEL,0,0.01,2,3,100.0,1.0
Armando Broja,ALB,0,0.23,2,2,100.0,1.0
Ben Brereton,CHI,0,0.08,2,3,95.0,1.0
Fermin López,ESP,0,0.04,2,1,90.0,1.0
Philipp Lienhart,AUT,0,0.18,2,3,100.0,1.0
Tomas Ángel,COL,1,0.84,2,2,85.5,1.0
Michel Aebischer,SUI,1,0.09,2,5,100.0,1.0
Wilker Ángel,VEN,0,0.78,1,3,85.5,1.0
Kieran Trippier,ENG,0,0.09,1,6,100.0,1.0
David Raum,GER,0,0.02,1,3,100.0,1.0
Juan David Cabal,COL,0,0.02,1,3,85.5,1.0
Derek Cornelius,CAN,0,0.04,1,6,100.0,1.0
Amine Harit,MAR,0,0.04,1,3,100.0,1.0
Amir Richardson,MAR,0,0.08,1,1,100.0,1.0
Mattia Zaccagni,ITA,1,0.22,2,3,100.0,1.0
Chris Richards,USA,0,0.18,2,3,100.0,1.0
Christopher Wooh,CMR,1,0.23,2,4,100.0,1.0
José Luis Rodríguez,PAN,0,0.06,2,1,95.0,1.0
Jonathan Osorio,CAN,0,0.68,2,6,100.0,1.0
Eberechi Eze,ENG,0,0.04,2,3,100.0,1.0
Gabriel,BRA,0,0.85,2,4,90.0,1.0
Konrad Laimer,AUT,0,0.27,2,4,100.0,1.0
Klaus Gjasula,ALB,1,0.18,2,1,100.0,1.0
László Bénes,SVK,0,0.08,1,2,100.0,1.0
Lazar Samardzic,SRB,0,0.05,1,2,100.0,1.0
Lewis Morgan,SCO,0,0.06,1,1,100.0,1.0
Kevin Danso,AUT,0,0.04,1,3,100.0,1.0
Romain Saïss,MAR,1,0.41,1,3,100.0,1.0
Romano Schmid,AUT,1,0.18,1,4,100.0,1.0
Saba Lobzhanidze,GEO,0,0.31,1,1,100.0,1.0
Duván Zapata,COL,0,0.18,2,4,85.5,1.0
Karol Świderski,POL,0,0.2,2,3,100.0,1.0
Weston McKennie,USA,0,0.24,2,3,100.0,1.0
William Saliba,FRA,0,0.11,2,6,100.0,1.0
Zuriko Davitashvili,GEO,0,0.17,2,4,100.0,1.0
Papa Amadou Diallo,SEN,0,0.16,2,3,86.1,1.0
Yaser Asprilla,COL,0,0.22,2,1,85.5,1.0
Adalberto Carrasquilla,PAN,0,0.07,2,2,85.5,1.0
Wilder Cartagena,PER,0,0.01,1,3,85.5,1.0
Darlin Yongwa,CMR,0,0.03,1,2,85.5,1.0
Luka Jović,SRB,1,0.14,1,3,100.0,1.0
Douglas Luiz,BRA,0,0.78,1,3,90.0,1.0
Gonçalo Ramos,POR,0,0.1,1,1,85.5,1.0
Gonzalo Montiel,ARG,1,0.78,1,6,95.0,1.0
Guilherme,BRA,0,0.05,1,2,90.0,1.0
Idrissa Gana Gueye,SEN,0,0.04,1,1,95.0,1.0
André Carrillo,PER,0,0.02,1,1,85.5,1.0
Andre-Frank Zambo Anguissa,CMR,0,0.2,1,4,100.0,1.0
Telasco Segovia,VEN,0,0.04,1,1,85.5,1.0
Terem Moffi,NGA,1,0.78,1,2,85.5,1.0
Thomas Müller,GER,0,0.24,1,2,100.0,1.0
Stanislav Lobotka,SVK,0,0.02,1,4,100.0,1.0
Steven Bergwijn,NED,0,0.03,1,2,100.0,1.0
Gio Reyna,USA,0,0.07,1,3,85.5,1.0
Iñaki Williams,GHA,0,0.1,1,2,90.0,1.0
Marc Cucurella,ESP,0,0.02,1,6,90.0,1.0
